-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     149844 2018-06-14 15:59 /project/ecpprodeciborg/20180614/engine_uk2p-ddnmcib02b_Agile_THBFWD.log.1529009388595
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   19946061 2018-07-11 17:31 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile - Copy.log.1531344847286
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     169341 2018-07-11 18:06 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_DATEGENHKDSPOT.log.1531349790864
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   15310414 2018-07-11 17:58 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_EBOR - Copy.log.1531347681201
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg    4373415 2018-07-11 18:06 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_EBOR.log.1531349322635
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg    5069915 2018-07-11 18:15 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_JSCCJPY1MDPM.log.1531349813736
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   14122747 2018-07-11 18:41 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_JSCCJPY1MTAM.log.1531350317758
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     232088 2018-07-11 19:09 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_JSCCJPYCBSAM.log.1531353529288
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     283782 2018-07-11 19:09 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_JSCCUSD3MLAM.log.1531353558901
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   12324159 2018-07-11 19:08 /project/ecpprodeciborg/20180711/engine_uk1p-ddnmcib03b_Agile_JSCCUSDOISA.log.1531351894619
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   20495733 2018-04-21 05:07 /project/ecpprodeciborg/20180421/engine_uk2p-ddnmcib03a_complianceProgress.log.205.1524305228735
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     473708 2018-04-24 02:03 /project/ecpprodeciborg/20180421/engine_uk2p-ddnmcib03a_complianceProgress.log.205.1524305228736.tmp
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   20503555 2018-04-21 05:07 /project/ecpprodeciborg/20180421/engine_uk2p-ddnmcib03a_complianceProgress.log.206.1524305211238
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     508722 2018-04-24 02:03 /project/ecpprodeciborg/20180421/engine_uk2p-ddnmcib03a_complianceProgress.log.206.1524305211239.tmp
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg   20495924 2018-04-21 05:06 /project/ecpprodeciborg/20180421/engine_uk2p-ddnmcib03a_complianceProgress.log.207.1524305167208
-rw-rw-r--   3 bigdata-app-ecpprodeciborg-asadmin bigdata-project-ecpprodeciborg     497094 2018-04-24 02:03 /project/ecpprodeciborg/20180421/engine_uk2p-ddnmcib03a_complianceProgress.log.207.1524305167209.tmp
